-----------------------------------------------------------------------------------------------------------------------------------------------------
Name                              MW       Cp@298K        H@298K        G@298K        S@298K      Cp@1000K       H@1000K       G@1000K       S@1000K 
CH3OH                        32.0420        9.9600      -48.0656      -65.1921       57.4713       21.2722      -36.5630     -112.4919       75.9288
CH3O                         31.0340       10.0286        5.0284      -11.6494       55.9659       19.6134       16.0338      -57.7402       73.7740
CH2OH                        31.0340       11.2457       -4.1125      -21.4980       58.3406       18.4026        6.7548      -69.4567       76.2115
CH2O                         30.0260        8.4300      -26.0926      -41.6683       52.2674       14.7613      -17.7829      -83.5844       65.8016
HCO                          29.0180        8.2654        9.9861       -5.9848       53.5936       11.6208       17.0332      -48.2942       65.3274
HO2CHO                       62.0240       15.1706      -67.4028      -89.4109       73.8526       25.5761      -52.2875     -150.9310       98.6435
HOCHO                        46.0250       10.0242      -90.5200     -108.0949       58.9763       18.0527      -80.2215     -155.9773       75.7559
OCHO                         45.0170       10.0750      -30.9968      -49.1489       60.9132       15.9578      -21.6514      -97.9500       76.2987
C2H6                         30.0700       12.2689      -20.0710      -36.3828       54.7378       29.1813       -4.6721      -83.9031       79.2310
C2H5                         29.0620       11.9198       28.5862       11.2906       58.0389       25.6952       42.5008      -37.8543       80.3551
C2H5O2H                      62.0680       19.0958      -38.7466      -61.2235       75.4255       39.5359      -16.6611     -127.6822      111.0211
C2H5O2                       61.0600       18.0153       -6.8714      -28.8686       73.8164       36.2703       13.4910      -93.2142      106.7052
C2H4                         28.0540       10.0664       12.5340       -3.0781       52.3895       22.4074       24.6433      -47.1237       71.7670
C2H3                         27.0460        9.9729       70.8746       54.2372       55.8302       18.7327       81.4697        8.4341       73.0356
C2H2                         26.0380       10.5127       54.5328       40.2263       48.0086       16.2145       64.3437        0.0815       64.2622
C2H                          25.0300       10.1196      135.7582      120.5672       50.9766       12.5749      143.7413       79.2943       64.4470
C2H5OH                       46.0690       15.3688      -56.1655      -76.1383       67.0226       34.0457      -37.6654     -134.3140       96.6486
C2H5O                        45.0610       15.6225       -3.3209      -22.8748       65.6168       31.1652       13.8248      -79.4491       93.2739
PC2H4OH                      45.0610       16.2413       -6.1758      -27.3669       71.1113       30.6175       11.1590      -88.0958       99.2548
SC2H4OH                      45.0610       15.1746      -13.2211      -33.7958       69.0426       29.9508        3.5065      -92.5836       96.0900
C2H4O2H                      61.0600       20.2796       11.8315       -9.6925       72.2281       37.2552       33.1673      -73.7878      106.9550
C2H4O1-2                     44.0530       11.1237      -12.5925      -29.8795       58.0103       27.4341        2.0908      -79.2507       81.3416
C2H3O1-2                     43.0450       11.2058       39.2519       21.3008       60.2387       23.7774       52.3500      -28.9395       81.2896
CH3CHO                       44.0530       12.9896      -39.7452      -58.5315       63.0413       26.8014      -25.0079     -111.7779       86.7700
CH3CO                        43.0450       11.9796       -2.4832      -21.5215       63.8869       23.0923       10.4667      -74.3955       84.8622
CH2CHO                       43.0450       12.9095        3.0461      -15.7662       63.1285       23.7736       16.7668      -68.7025       85.4693
CH2CO                        42.0370       12.3898      -11.6084      -29.5144       60.0873       20.2113        0.3649      -79.4195       79.7844
HCCO                         41.0290       12.0100       42.6122       25.0635       58.8882       16.9129       53.1482      -23.3165       76.4647
HCOOH                        46.0250        9.7366      -86.1429     -103.7374       59.0419       18.0702      -75.8480     -151.6266       75.7786
CH3CO3                       75.0430       18.8483      -42.6797      -66.6367       80.3925       33.8536      -23.1828     -135.3665      112.1838
CH3CO3H                      76.0510       20.6214     -139.3270     -162.0109       76.1203       39.4171     -116.3303     -229.8352      113.5048
CH2OHCHO                     60.0520       15.6056      -73.2906      -95.3007       73.8591       30.7383      -56.1376     -157.7300      101.5923
CHOCHO                       58.0360       14.2230      -50.7099      -70.1036       65.0794       25.9082      -35.5976     -125.3084       89.7108
O2C2H4O2H                    93.0580       26.8099      -26.6911      -55.2756       95.9212       45.3977       -0.2540     -139.4953      139.2413
HO2CH2CHO                    76.0510       20.6214     -139.3270     -162.0109       76.1203       39.4171     -116.3303     -229.8352      113.5048
CH3OCHO                      60.0520        1.2557      -79.3838     -103.6204       81.3311       24.5646      -71.7501     -163.4947       91.7446
CH3OCO                       59.0440       16.1697      -38.1024      -59.6613       72.3452       28.8394      -21.6691     -120.7858       99.1167
C3H8                         44.0970       17.3105      -25.0441      -44.2820       64.5567       41.6350       -2.9468     -102.6428       99.6960
IC3H7                        43.0890       15.2979       21.5118        0.8678       69.2752       36.7275       40.8893      -59.1890      100.0783
NC3H7                        43.0890       16.8486       24.1974        3.5210       69.3840       37.4823       44.4558      -57.3491      101.8049
C3H6                         42.0810       15.1050        6.1921      -12.7659       63.6175       34.2585       24.5835      -68.4120       92.9955
C3H5-A                       41.0730       14.8729       42.0737       23.7163       61.6020       31.8772       59.6292      -30.1722       89.8014
C3H5-S                       41.0730       15.4022       63.3425       44.0684       64.6782       30.9617       80.4739      -11.8483       92.3222
C3H5-T                       41.0730       15.1538       59.7731       40.4552       64.8252       31.0259       76.7093      -15.3766       92.0859
C3H5O                        57.0720       18.2180       23.8500        2.0472       73.1637       36.5864       44.2833      -61.8754      106.1587
C3H6O                        58.0800       17.1276      -22.1876      -42.2232       67.2337       39.8057       -0.6715     -102.2427      101.5712
CH3CHCHO                     57.0720       16.8788       -4.9935      -25.6057       69.1683       36.1887       14.8333      -86.1637      100.9971
AC4H7OOH                     88.1060       28.2679      -12.7688      -40.1496       91.8821       58.4746       19.4486     -124.3068      143.7554
CH3CHCO                      56.0640       17.8583      -19.6127      -39.8113       67.7807       32.8795       -0.7265      -99.2499       98.5234
AC3H5OOH                     74.0790       24.9053      -10.2500      -34.7074       82.0719       44.5786       15.3258     -108.4492      123.7750
C3H6OH1-2                    59.0880       19.0539      -15.2694      -39.4268       81.0653       41.7653        7.3570     -109.9547      117.3117
C3H6OH2-1                    59.0880       20.4311      -24.3974      -47.3212       76.9256       41.0843       -1.5303     -115.3709      113.8406
HOC3H6O2                     91.0860       28.2856      -50.7284      -78.3381       92.6503       52.7583      -20.6408     -162.1924      141.5516
SC3H5OH                      58.0800       19.9253      -37.0139      -57.9718       70.3287       39.6774      -14.6533     -121.1442      106.4908
C3H5OH                       58.0800       18.9004      -34.9085      -55.9306       70.5442       39.9429      -12.9791     -118.7741      105.7949
CH2CCH2OH                    57.0720       18.0863       27.0705        4.3525       76.2349       34.8666       46.5885      -61.2567      107.8452
C3H4-P                       40.0650       14.4709       44.3066       26.6278       59.3247       27.6434       59.8581      -24.6801       84.5381
C3H4-A                       40.0650       13.9994       45.6247       28.2917       58.1644       27.9081       61.2681      -22.1801       83.4482
C3H3                         39.0570       15.5072       83.9979       65.7233       61.3240       24.7698       98.8103       13.0423       85.7680
C3H2                         38.0490       13.0737      125.7794      107.6526       60.8282       20.9376      138.3620       56.7883       81.5738
C2H5CHO                      58.0800       17.7528      -44.2787      -64.8362       68.9851       39.2010      -23.0144     -126.0523      103.0380
CH2CH2CHO                    57.0720       17.2571        4.2732      -18.0329       74.8528       35.4136       23.7112      -82.4341      106.1452
RALD3                        57.0720       18.6481       -5.5513      -26.5540       70.4786       39.3221       15.0859      -88.4131      103.4990
C2H3CHO                      56.0640       17.0182      -16.2867      -38.1956       73.5196       33.9169        2.7259     -101.5181      104.2440
CH3COCH3                     58.0800       17.4246      -51.3728      -72.4133       70.6057       38.6175      -30.4676     -134.5371      104.0695
CH3COCH2                     57.0720       17.2329       -7.9849      -29.8761       73.4605       34.8212       11.3727      -93.3253      104.6980
NC4H10                       58.1240       23.3318      -30.1143      -52.1544       73.9601       54.1630       -1.0852     -121.3427      120.2575
PC4H9                        57.1160       22.7759       17.2096       -6.1800       78.4885       50.5683       44.3926      -77.6055      121.9981
SC4H9                        57.1160       22.7128       14.0408       -9.1376       77.7799       50.3121       40.9855      -79.9157      120.9012
IC4H10                       58.1240       23.1338      -32.2684      -53.2098       70.2731       54.4550       -3.1859     -119.7983      116.6124
IC4H9                        57.1160       22.3286       15.1366       -7.5308       76.0654       50.9084       42.5886      -77.3323      119.9209
TC4H9                        57.1160       22.3229        9.9948      -11.7490       72.9655       50.8343       37.4386      -79.3782      116.8167
IC4H8                        56.1080       21.4259       -3.8155      -24.6663       69.9691       46.8863       21.5496      -89.0533      110.6029
IC4H7                        55.1000       21.7726       29.6743        7.8337       73.2907       47.1142       54.9786      -58.8309      113.8094
IC4H7O                       71.0990       23.6167       13.8955      -10.1020       80.5285       48.3869       40.6545      -82.9935      123.6479
C4H8-1                       56.1080       20.4828       -0.1147      -22.0476       73.6003       47.0090       25.1344      -88.7678      113.9022
C4H8-2                       56.1080       20.7979       -2.7497      -23.7481       70.4645       46.4619       22.2075      -88.1627      110.3702
C4H71-3                      55.1000       19.8838       31.9686       10.3080       72.6866       44.3003       56.0878      -55.2163      111.3041
C4H71-4                      55.1000       19.9161       47.9647       25.6490       74.8848       44.0682       71.8895      -41.3062      113.1958
C4H71-O                      71.0990       23.0648       12.9200      -11.0129       80.3119       49.8729       40.5123      -84.1050      124.6173
C4H6                         54.0920       18.0136       26.4147        5.5651       69.9650       39.0403       47.6421      -56.3629      104.0050
C4H5                         53.0840       18.9041       85.9988       64.2522       72.9750       38.8365      107.7633       -0.3049      108.0683
C4H4                         52.0760       17.1055       68.7956       49.0473       66.2693       32.5825       87.3577       -9.0436       96.4013
C4H3                         51.0680       17.8066      129.8430      109.2757       69.0181       30.4964      147.8067       49.3587       98.4480
C4H2                         50.0600       17.5564      110.0102       92.2468       59.6086       26.5855      126.3093       39.6341       86.6752
C6H6                         78.1140       19.2860       19.7960        0.6378       64.2893       50.3393       46.7608      -60.2450      107.0058
FULVENE                      78.1140       21.3261       51.6414       30.8452       69.7859       50.2295       78.9312      -34.3868      113.3180
C6H5                         77.1060       18.1299       80.5994       60.2314       68.3492       46.6095      105.7441       -2.4975      108.2416
C5H6                         66.1030       18.3993       32.0329       12.5483       65.3847       45.7804       56.5752      -47.7861      104.3614
C5H5                         65.0950       20.3610       62.4942       43.5775       63.4787       41.2601       85.4096      -15.0881      100.4977
MCPTD                        80.1300       22.4862       26.8069        4.6829       74.2417       56.6785       57.0768      -65.1965      122.2733
C10H8                       128.1740       32.4138       35.9924       12.0382       80.3831       78.9158       78.8731      -69.7879      148.6610
NO                           30.0060        7.1348       21.8096        6.8025       50.3592        8.1088       27.1227      -32.2699       59.3926
N2O                          44.0130        9.2073       19.5007        3.8322       52.5786       13.1724       27.6762      -38.5182       66.1944
NO2                          46.0050        8.9626        8.1353       -8.9511       57.3369       12.6214       15.9607      -54.4233       70.3840
HNO                          31.0140        8.1098       25.5312        9.8008       52.7865       11.4368       32.3817      -31.8055       64.1872
HNO2                         47.0130        9.3493      -10.5536      -27.5390       56.9980       15.9543       -1.3377      -73.4090       72.0713
HONO                         47.0130       11.0897      -18.8073      -36.8908       60.6828       16.5515       -8.6734      -86.1668       77.4934
HONO2                        63.0120       12.9680      -32.1077      -51.1023       63.7401       21.9173      -18.9925     -104.2559       85.2635
N2H2                         30.0300        8.3916       47.8497       32.3016       52.1747       15.1501       56.1646       -9.5050       65.6696
H2NN                         30.0300        8.5485       71.9146       56.3816       52.1239       14.5708       80.1667       14.5690       65.5977
HNNO                         45.0210       10.6836       55.1994       37.1624       60.5271       16.7189       65.2766      -11.8934       77.1700
NH2NO                        46.0290       12.0476       17.8773       -0.0781       60.2529       22.0202       30.5524      -50.3347       80.8871
NH2OH                        33.0300       11.1731      -10.5081      -27.3227       56.4251       19.1173        0.5212      -73.9625       74.4837
HNOH                         32.0220        9.2440       24.0873        7.4727       55.7536       14.8017       32.7979      -37.3002       70.0981
NH3                          17.0310        8.5224      -10.8860      -24.6137       46.0661       13.4486       -3.0999      -61.9843       58.8845
N2H4                         32.0460       11.7405       22.7169        5.7535       56.9242       22.1070       35.1709      -41.9665       77.1374
N                            14.0070        4.9673      112.9610      102.0439       36.6345        4.9702      116.4482       73.8001       42.6481
NO3                          62.0040       11.3271       17.8241       -0.1576       60.3412       18.2819       29.0206      -49.7814       78.8020
NH                           15.0150        6.9629       85.7491       72.8411       43.3153        7.4707       90.7559       38.8656       51.8902
NNH                          29.0220        8.2089       59.6190       43.6326       53.6458       11.2284       66.4936        1.3728       65.1208
NH2                          16.0230        8.0516       44.4971       30.6207       46.5650       10.1942       50.8283       -6.3954       57.2237
H2NO                         32.0220        9.4399       15.8359       -0.4026       54.4916       14.7198       24.5008      -44.2835       68.7843
N2H3                         31.0380       10.2560       53.7140       36.8642       56.5427       18.3389       64.1455       -9.4022       73.5477
HCN                          27.0260        8.5682       31.0174       16.6458       48.2267       11.9885       38.4385      -22.1799       60.6184
HNC                          27.0260        9.5795       45.8572       31.2229       49.1085       12.0723       53.6067       -8.5773       62.1840
HNCO                         43.0250       10.7696      -28.3424      -45.3096       56.9368       16.1047      -18.4863      -91.7793       73.2930
HCNO                         43.0250       11.6074       40.0728       24.0510       53.7643       17.2955       50.7387      -20.7570       71.4957
HOCN                         43.0250       10.9960       -3.6929      -20.8727       57.6505       16.0891        6.1766      -67.8764       74.0529
CH2NO                        44.0330       14.1662       52.5589       35.7876       56.2794       20.2875       64.9064      -11.9077       76.8141
CH3NO                        45.0410       12.2576       16.9104       -1.7002       62.4515       22.7622       29.6382      -53.4612       83.0994
CH3NO2                       61.0400       13.4865      -19.3879      -38.8381       65.2689       28.2019       -3.8480      -94.1155       90.2676
CH3ONO                       61.0400       15.6228      -15.6414      -37.2049       72.3606       27.4823        0.0260      -97.8861       97.9121
CH3ONO2                      77.0390       18.4385      -29.2184      -50.9663       72.9794       34.0650       -9.6876     -114.4342      104.7466
CH3CN                        41.0530       12.5658       17.6920        0.3736       58.1153       23.4865       30.8475      -48.6135       79.4611
CN                           26.0180        6.9552      104.8348       90.4044       48.4239        7.9691      110.0502       52.7612       57.2891
NCN                          40.0250       10.0204      106.5065       90.4278       53.9553       13.7393      115.2069       46.7027       68.5042
NCO                          42.0170        9.5433       30.5910       14.0555       55.4883       13.2754       38.8971      -30.4586       69.3558
HNCN                         41.0330       11.1495       75.4751       57.8668       59.0882       16.3868       85.5175        9.7489       75.7686
H2CN                         28.0340        9.0917       57.0139       41.0431       53.5933       15.1116       65.7525       -2.1664       67.9189
HCNH                         28.0340        9.2002       65.1468       48.8407       54.7183       15.2096       73.9917        4.7597       69.2320
C2N2                         52.0360       13.6004       73.9030       56.6582       57.8685       18.3301       85.4771        8.2029       77.2742
CH2CN                        40.0450       13.0246       62.9229       45.0846       59.8599       20.6310       75.2246       -4.9224       80.1470
CH2NH                        29.0420        9.2221       21.2004        5.4266       52.9323       18.4337       31.2359      -37.8543       69.0902
CH3NH2                       31.0580       11.8420       -4.9949      -21.7455       56.2101       25.8086        8.7936      -69.4635       78.2571
CH2NH2                       30.0500       11.7550       35.5328       18.2513       57.9917       22.3021       48.0473      -30.2417       78.2890
CH3NH                        30.0500       11.2106       42.6735       25.9551       56.1019       22.3739       54.8872      -20.8962       75.7833
-----------------------------------------------------------------------------------------------------------------------------------------------------

 ====================================================================================================
   THERMO TABLE FOR MOLECULE AR
 ====================================================================================================
   Elemental Composition:
     AR 1.0000
   Formation Enthalpy at 298K =          -0.0007 kcal/mol
   Formation Free Gibbs Energy at 298K = -11.0276 kcal/mol
   Molecular Weight =                    39.9480 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      4.9675        0.0092        -11.1016      37.0360       0.0099        -0.0740       
     600.0000      4.9675        1.4994        -22.7881      40.4792       1.5002        -11.7605      
     800.0000      4.9675        2.4929        -31.0336      41.9082       2.4937        -20.0061      
     1000.0000     4.9675        3.4864        -39.5303      43.0167       3.4872        -28.5027      
     1200.0000     4.9675        4.4799        -48.2269      43.9224       4.4807        -37.1994      
     1400.0000     4.9675        5.4734        -57.0899      44.6881       5.4742        -46.0624      
     1600.0000     4.9675        6.4669        -66.0954      45.3514       6.4677        -55.0678      
     1800.0000     4.9675        7.4604        -75.2253      45.9365       7.4612        -64.1977      
     2000.0000     4.9675        8.4539        -84.4658      46.4599       8.4547        -73.4383      
     2200.0000     4.9675        9.4474        -93.8059      46.9333       9.4482        -82.7784      
     2400.0000     4.9675        10.4409       -103.2364     47.3656       10.4417       -92.2089      
     2600.0000     4.9675        11.4344       -112.7498     47.7632       11.4352       -101.7223     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE N2
 ====================================================================================================
   Elemental Composition:
     N 2.0000
   Formation Enthalpy at 298K =          0.0002 kcal/mol
   Formation Free Gibbs Energy at 298K = -13.6452 kcal/mol
   Molecular Weight =                    28.0140 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      6.9435        0.0141        -13.7368      45.8366       0.0139        -0.0916       
     600.0000      7.2081        2.1267        -28.2976      50.7071       2.1264        -14.6524      
     800.0000      7.5104        3.5982        -38.6591      52.8217       3.5979        -25.0139      
     1000.0000     7.7989        5.1298        -49.3995      54.5293       5.1296        -35.7543      
     1200.0000     8.0386        6.7144        -60.4534      55.9732       6.7141        -46.8082      
     1400.0000     8.2321        8.3422        -71.7762      57.2274       8.3419        -58.1310      
     1600.0000     8.3869        10.0046       -83.3348      58.3371       10.0044       -69.6896      
     1800.0000     8.5099        11.6948       -95.1034      59.3324       11.6945       -81.4582      
     2000.0000     8.6070        13.4069       -107.0615     60.2342       13.4066       -93.4163      
     2200.0000     8.6835        15.1362       -119.1919     61.0582       15.1360       -105.5467     
     2400.0000     8.7438        16.8792       -131.4804     61.8165       16.8789       -117.8352     
     2600.0000     8.7915        18.6329       -143.9148     62.5183       18.6326       -130.2696     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE HE
 ====================================================================================================
   Elemental Composition:
     HE 1.0000
   Formation Enthalpy at 298K =          -0.0007 kcal/mol
   Formation Free Gibbs Energy at 298K = -8.9842 kcal/mol
   Molecular Weight =                    4.0030 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      4.9675        0.0092        -9.0445       30.1789       0.0099        -0.0603       
     600.0000      4.9675        1.4994        -18.6738      33.6221       1.5002        -9.6897       
     800.0000      4.9675        2.4929        -25.5480      35.0512       2.4937        -16.5638      
     1000.0000     4.9675        3.4864        -32.6732      36.1596       3.4872        -23.6890      
     1200.0000     4.9675        4.4799        -39.9984      37.0653       4.4807        -31.0143      
     1400.0000     4.9675        5.4734        -47.4900      37.8310       5.4742        -38.5059      
     1600.0000     4.9675        6.4669        -55.1240      38.4944       6.4677        -46.1399      
     1800.0000     4.9675        7.4604        -62.8826      39.0795       7.4612        -53.8984      
     2000.0000     4.9675        8.4539        -70.7517      39.6028       8.4547        -61.7676      
     2200.0000     4.9675        9.4474        -78.7204      40.0763       9.4482        -69.7362      
     2400.0000     4.9675        10.4409       -86.7795      40.5085       10.4417       -77.7953      
     2600.0000     4.9675        11.4345       -94.9215      40.9061       11.4352       -85.9373      
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE H2
 ====================================================================================================
   Elemental Composition:
     H 2.0000
   Formation Enthalpy at 298K =          -0.0018 kcal/mol
   Formation Free Gibbs Energy at 298K = -9.3082 kcal/mol
   Molecular Weight =                    2.0160 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      6.8665        0.0119        -9.3708       31.2756       0.0137        -0.0625       
     600.0000      7.0204        2.1055        -19.5588      36.1071       2.1072        -10.2506      
     800.0000      7.0876        3.5150        -26.9923      38.1342       3.5168        -17.6841      
     1000.0000     7.2209        4.9449        -34.7841      39.7290       4.9467        -25.4758      
     1200.0000     7.3975        6.4062        -42.8666      41.0607       6.4080        -33.5583      
     1400.0000     7.5973        7.9055        -51.1967      42.2158       7.9073        -41.8884      
     1600.0000     7.8041        9.4456        -59.7445      43.2438       9.4474        -50.4362      
     1800.0000     8.0051        11.0267       -68.4877      44.1747       11.0285       -59.1795      
     2000.0000     8.1911        12.6467       -77.4092      45.0279       12.6485       -68.1009      
     2200.0000     8.3567        14.3018       -86.4946      45.8166       14.3036       -77.1864      
     2400.0000     8.5000        15.9878       -95.7321      46.5500       15.9896       -86.4239      
     2600.0000     8.6227        17.7004       -105.1114     47.2353       17.7022       -95.8031      
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE H
 ====================================================================================================
   Elemental Composition:
     H 1.0000
   Formation Enthalpy at 298K =          52.0966 kcal/mol
   Formation Free Gibbs Energy at 298K = 43.9276 kcal/mol
   Molecular Weight =                    1.0080 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      4.9675        52.1065       43.8728       27.4459       0.0099        -0.0549       
     600.0000      4.9676        53.5968       35.0633       30.8891       1.5002        -8.8643       
     800.0000      4.9675        54.5903       28.7357       32.3182       2.4937        -15.1919      
     1000.0000     4.9675        55.5838       22.1571       33.4267       3.4872        -21.7705      
     1200.0000     4.9675        56.5773       15.3785       34.3324       4.4807        -28.5491      
     1400.0000     4.9675        57.5708       8.4335        35.0981       5.4742        -35.4942      
     1600.0000     4.9675        58.5643       1.3460        35.7614       6.4677        -42.5816      
     1800.0000     4.9675        59.5578       -5.8659       36.3465       7.4612        -49.7935      
     2000.0000     4.9675        60.5513       -13.1885      36.8699       8.4547        -57.1161      
     2200.0000     4.9675        61.5448       -20.6105      37.3433       9.4482        -64.5382      
     2400.0000     4.9675        62.5383       -28.1230      37.7756       10.4417       -72.0507      
     2600.0000     4.9675        63.5318       -35.7185      38.1732       11.4352       -79.6461      
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE O2
 ====================================================================================================
   Elemental Composition:
     O 2.0000
   Formation Enthalpy at 298K =          -0.0026 kcal/mol
   Formation Free Gibbs Energy at 298K = -14.6100 kcal/mol
   Molecular Weight =                    31.9980 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      7.0318        0.0115        -14.7081      49.0652       0.0141        -0.0981       
     600.0000      7.6619        2.2104        -30.2617      54.1201       2.2129        -15.6517      
     800.0000      8.0430        3.7827        -41.3206      56.3791       3.7853        -26.7106      
     1000.0000     8.3256        5.4210        -52.7848      58.2058       5.4235        -38.1748      
     1200.0000     8.5350        7.1080        -64.5838      59.7432       7.1106        -49.9738      
     1400.0000     8.6934        8.8316        -76.6682      61.0713       8.8342        -62.0582      
     1600.0000     8.8196        10.5833       -89.0017      62.2406       10.5859       -74.3917      
     1800.0000     8.9284        12.3583       -101.5562     63.2858       12.3608       -86.9462      
     2000.0000     9.0310        14.1542       -114.3095     64.2319       14.1568       -99.6995      
     2200.0000     9.1348        15.9707       -127.2436     65.0974       15.9733       -112.6336     
     2400.0000     9.2436        17.8085       -140.3440     65.8969       17.8111       -125.7340     
     2600.0000     9.3574        19.6685       -153.5987     66.6412       19.6711       -138.9887     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE O
 ====================================================================================================
   Elemental Composition:
     O 1.0000
   Formation Enthalpy at 298K =          59.5607 kcal/mol
   Formation Free Gibbs Energy at 298K = 48.0911 kcal/mol
   Molecular Weight =                    15.9990 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      5.2345        59.5711       48.0141       38.5235       0.0105        -0.0770       
     600.0000      5.0489        61.1048       35.8603       42.0742       1.5441        -12.2308      
     800.0000      5.0193        62.1114       27.2935       43.5223       2.5507        -20.7976      
     1000.0000     4.9998        63.1131       18.4731       44.6401       3.5525        -29.6180      
     1200.0000     4.9874        64.1118       9.4512        45.5505       4.5511        -38.6399      
     1400.0000     4.9802        65.1084       0.2623        46.3187       5.5478        -47.8288      
